date,datetime,SPOSTMIN,SACTMIN
06/30/2018,2018-06-30 20:42:00,135,
06/30/2018,2018-06-30 20:44:00,120,
06/30/2018,2018-06-30 20:51:00,120,
06/30/2018,2018-06-30 20:58:00,120,
06/30/2018,2018-06-30 20:59:00,180,
06/30/2018,2018-06-30 21:02:00,180,
06/30/2018,2018-06-30 21:09:00,180,
06/30/2018,2018-06-30 21:16:00,180,
06/30/2018,2018-06-30 21:23:00,180,
06/30/2018,2018-06-30 21:29:00,180,
06/30/2018,2018-06-30 21:37:00,180,
06/30/2018,2018-06-30 21:42:00,180,
06/30/2018,2018-06-30 21:44:00,180,
06/30/2018,2018-06-30 21:51:00,180,
06/30/2018,2018-06-30 21:58:00,180,
06/30/2018,2018-06-30 22:02:00,180,
06/30/2018,2018-06-30 22:09:00,180,
06/30/2018,2018-06-30 22:16:00,180,
06/30/2018,2018-06-30 22:23:00,180,
06/30/2018,2018-06-30 20:17:00,,127
06/30/2018,2018-06-30 22:29:00,180,
06/30/2018,2018-06-30 22:37:00,180,
06/30/2018,2018-06-30 22:44:00,180,
06/30/2018,2018-06-30 22:51:00,180,
06/30/2018,2018-06-30 22:58:00,180,
06/30/2018,2018-06-30 23:02:00,180,
06/30/2018,2018-06-30 21:04:00,,123
06/30/2018,2018-06-30 23:09:00,-999,
06/30/2018,2018-06-30 23:16:00,-999,
06/30/2018,2018-06-30 21:43:00,,98
06/30/2018,2018-06-30 23:23:00,-999,
06/30/2018,2018-06-30 23:29:00,-999,
06/30/2018,2018-06-30 23:37:00,-999,
06/30/2018,2018-06-30 23:44:00,-999,
07/01/2018,2018-07-01 06:16:00,-999,
07/01/2018,2018-07-01 06:23:00,-999,
07/01/2018,2018-07-01 06:29:00,-999,
07/01/2018,2018-07-01 06:37:00,-999,
07/01/2018,2018-07-01 06:44:00,5,
07/01/2018,2018-07-01 06:51:00,5,
07/01/2018,2018-07-01 06:58:00,90,
07/01/2018,2018-07-01 07:02:00,90,
07/01/2018,2018-07-01 07:09:00,105,
07/01/2018,2018-07-01 07:16:00,180,
07/01/2018,2018-07-01 07:23:00,180,
07/01/2018,2018-07-01 07:29:00,200,
07/01/2018,2018-07-01 07:37:00,200,
07/01/2018,2018-07-01 07:39:00,200,
07/01/2018,2018-07-01 07:44:00,200,
07/01/2018,2018-07-01 07:51:00,225,
07/01/2018,2018-07-01 07:51:00,225,
07/01/2018,2018-07-01 07:57:00,245,
07/01/2018,2018-07-01 07:58:00,245,
07/01/2018,2018-07-01 08:02:00,245,
07/01/2018,2018-07-01 08:09:00,265,
07/01/2018,2018-07-01 08:16:00,265,
07/01/2018,2018-07-01 08:23:00,265,
07/01/2018,2018-07-01 08:29:00,265,
07/01/2018,2018-07-01 08:37:00,265,
07/01/2018,2018-07-01 08:44:00,275,
07/01/2018,2018-07-01 08:51:00,275,
07/01/2018,2018-07-01 08:58:00,275,
07/01/2018,2018-07-01 09:02:00,275,
07/01/2018,2018-07-01 09:09:00,275,
07/01/2018,2018-07-01 09:16:00,275,
07/01/2018,2018-07-01 09:23:00,295,
07/01/2018,2018-07-01 09:29:00,200,
07/01/2018,2018-07-01 09:37:00,200,
07/01/2018,2018-07-01 09:44:00,150,
07/01/2018,2018-07-01 09:45:00,150,
07/01/2018,2018-07-01 09:51:00,150,
07/01/2018,2018-07-01 09:58:00,150,
07/01/2018,2018-07-01 10:02:00,150,
07/01/2018,2018-07-01 10:09:00,150,
07/01/2018,2018-07-01 10:16:00,120,
07/01/2018,2018-07-01 10:23:00,120,
07/01/2018,2018-07-01 10:29:00,120,
07/01/2018,2018-07-01 10:37:00,100,
07/01/2018,2018-07-01 10:44:00,100,
07/01/2018,2018-07-01 10:51:00,100,
07/01/2018,2018-07-01 10:58:00,100,
07/01/2018,2018-07-01 11:02:00,100,
07/01/2018,2018-07-01 11:09:00,160,
07/01/2018,2018-07-01 11:16:00,160,
07/01/2018,2018-07-01 11:23:00,160,
