date,datetime,SPOSTMIN,SACTMIN
05/27/2017,2017-05-27 11:45:00,250,
05/27/2017,2017-05-27 11:52:00,250,
05/27/2017,2017-05-27 11:59:00,250,
05/27/2017,2017-05-27 12:03:00,250,
05/27/2017,2017-05-27 12:10:00,250,
05/27/2017,2017-05-27 12:17:00,250,
05/27/2017,2017-05-27 12:30:00,250,
05/27/2017,2017-05-27 12:38:00,250,
05/27/2017,2017-05-27 12:45:00,250,
05/27/2017,2017-05-27 12:52:00,250,
05/27/2017,2017-05-27 12:59:00,250,
05/27/2017,2017-05-27 13:03:00,250,
05/27/2017,2017-05-27 13:17:00,250,
05/27/2017,2017-05-27 13:24:00,250,
05/27/2017,2017-05-27 13:30:00,250,
05/27/2017,2017-05-27 13:45:00,250,
05/27/2017,2017-05-27 13:52:00,250,
05/27/2017,2017-05-27 13:59:00,250,
05/27/2017,2017-05-27 14:03:00,250,
05/27/2017,2017-05-27 14:10:00,250,
05/27/2017,2017-05-27 14:17:00,195,
05/27/2017,2017-05-27 14:24:00,195,
05/27/2017,2017-05-27 14:30:00,195,
05/27/2017,2017-05-27 14:38:00,195,
05/27/2017,2017-05-27 14:45:00,195,
05/27/2017,2017-05-27 14:52:00,195,
05/27/2017,2017-05-27 14:59:00,195,
05/27/2017,2017-05-27 15:03:00,195,
05/27/2017,2017-05-27 15:10:00,195,
05/27/2017,2017-05-27 15:17:00,195,
05/27/2017,2017-05-27 15:24:00,195,
05/27/2017,2017-05-27 15:30:00,195,
05/27/2017,2017-05-27 15:38:00,195,
05/27/2017,2017-05-27 15:45:00,195,
05/27/2017,2017-05-27 15:52:00,195,
05/27/2017,2017-05-27 15:59:00,195,
05/27/2017,2017-05-27 16:03:00,195,
05/27/2017,2017-05-27 16:10:00,195,
05/27/2017,2017-05-27 16:17:00,195,
05/27/2017,2017-05-27 16:24:00,195,
05/27/2017,2017-05-27 16:30:00,195,
05/27/2017,2017-05-27 16:45:00,195,
05/27/2017,2017-05-27 16:52:00,195,
05/27/2017,2017-05-27 16:59:00,195,
05/27/2017,2017-05-27 17:03:00,195,
05/27/2017,2017-05-27 17:10:00,195,
05/27/2017,2017-05-27 17:17:00,195,
05/27/2017,2017-05-27 17:24:00,195,
05/27/2017,2017-05-27 17:30:00,195,
05/27/2017,2017-05-27 17:45:00,195,
05/27/2017,2017-05-27 17:52:00,195,
05/27/2017,2017-05-27 17:59:00,160,
05/27/2017,2017-05-27 18:03:00,160,
05/27/2017,2017-05-27 18:10:00,160,
05/27/2017,2017-05-27 18:17:00,160,
05/27/2017,2017-05-27 18:24:00,160,
05/27/2017,2017-05-27 18:30:00,160,
05/27/2017,2017-05-27 18:38:00,160,
05/27/2017,2017-05-27 18:45:00,160,
05/27/2017,2017-05-27 18:52:00,180,
05/27/2017,2017-05-27 19:03:00,180,
05/27/2017,2017-05-27 19:10:00,180,
05/27/2017,2017-05-27 19:17:00,180,
05/27/2017,2017-05-27 19:24:00,180,
05/27/2017,2017-05-27 19:30:00,180,
05/27/2017,2017-05-27 19:38:00,180,
05/27/2017,2017-05-27 19:45:00,180,
05/27/2017,2017-05-27 19:52:00,180,
05/27/2017,2017-05-27 19:59:00,180,
05/27/2017,2017-05-27 20:10:00,180,
05/27/2017,2017-05-27 20:24:00,180,
05/27/2017,2017-05-27 20:30:00,180,
05/27/2017,2017-05-27 20:38:00,180,
05/27/2017,2017-05-27 20:45:00,180,
05/27/2017,2017-05-27 20:52:00,-999,
05/27/2017,2017-05-27 20:59:00,-999,
05/27/2017,2017-05-27 21:03:00,-999,
05/27/2017,2017-05-27 21:10:00,-999,
05/27/2017,2017-05-27 21:17:00,-999,
05/27/2017,2017-05-27 21:24:00,-999,
05/27/2017,2017-05-27 21:30:00,-999,
05/27/2017,2017-05-27 21:38:00,-999,
05/27/2017,2017-05-27 21:45:00,-999,
05/27/2017,2017-05-27 21:59:00,-999,
05/27/2017,2017-05-27 22:03:00,-999,
05/27/2017,2017-05-27 22:10:00,-999,
05/27/2017,2017-05-27 22:17:00,-999,
05/27/2017,2017-05-27 22:24:00,-999,
05/27/2017,2017-05-27 22:30:00,-999,
05/27/2017,2017-05-27 22:38:00,-999,
05/27/2017,2017-05-27 22:45:00,-999,
05/27/2017,2017-05-27 22:52:00,-999,
05/27/2017,2017-05-27 22:59:00,180,
05/27/2017,2017-05-27 23:03:00,90,
05/27/2017,2017-05-27 23:10:00,90,
05/27/2017,2017-05-27 23:17:00,90,
05/27/2017,2017-05-27 23:24:00,90,
05/27/2017,2017-05-27 23:30:00,90,
05/27/2017,2017-05-27 23:35:00,-999,
05/27/2017,2017-05-27 23:38:00,90,
05/27/2017,2017-05-27 23:45:00,90,
05/27/2017,2017-05-27 23:52:00,90,
05/27/2017,2017-05-27 23:59:00,90,
05/28/2017,2017-05-28 07:30:00,5,
05/28/2017,2017-05-28 07:38:00,5,
05/28/2017,2017-05-28 07:52:00,90,
05/28/2017,2017-05-28 07:59:00,90,
05/28/2017,2017-05-28 08:03:00,90,
05/28/2017,2017-05-28 08:10:00,150,
05/28/2017,2017-05-28 08:17:00,180,
05/28/2017,2017-05-28 08:24:00,195,
05/28/2017,2017-05-28 08:31:00,250,
05/28/2017,2017-05-28 08:38:00,250,
05/28/2017,2017-05-28 08:52:00,250,
05/28/2017,2017-05-28 08:59:00,250,
05/28/2017,2017-05-28 09:03:00,250,
05/28/2017,2017-05-28 09:10:00,250,
05/28/2017,2017-05-28 09:17:00,250,
05/28/2017,2017-05-28 09:24:00,250,
05/28/2017,2017-05-28 09:30:00,250,
05/28/2017,2017-05-28 09:38:00,250,
05/28/2017,2017-05-28 09:45:00,250,
05/28/2017,2017-05-28 09:52:00,250,
05/28/2017,2017-05-28 09:59:00,250,
05/28/2017,2017-05-28 10:03:00,250,
05/28/2017,2017-05-28 10:10:00,250,
05/28/2017,2017-05-28 10:17:00,250,
05/28/2017,2017-05-28 10:24:00,250,
05/28/2017,2017-05-28 10:30:00,250,
05/28/2017,2017-05-28 10:38:00,250,
05/28/2017,2017-05-28 10:45:00,250,
05/28/2017,2017-05-28 10:59:00,250,
05/28/2017,2017-05-28 11:03:00,250,
05/28/2017,2017-05-28 11:17:00,250,
05/28/2017,2017-05-28 11:24:00,250,
05/28/2017,2017-05-28 11:30:00,195,
05/28/2017,2017-05-28 11:38:00,195,
05/28/2017,2017-05-28 11:45:00,195,
05/28/2017,2017-05-28 11:52:00,120,
05/28/2017,2017-05-28 12:03:00,120,
05/28/2017,2017-05-28 12:10:00,120,
05/28/2017,2017-05-28 12:17:00,120,
05/28/2017,2017-05-28 12:24:00,120,
05/28/2017,2017-05-28 12:30:00,120,
05/28/2017,2017-05-28 12:38:00,120,
05/28/2017,2017-05-28 12:52:00,120,
05/28/2017,2017-05-28 12:59:00,120,
05/28/2017,2017-05-28 13:03:00,120,
05/28/2017,2017-05-28 13:10:00,120,
05/28/2017,2017-05-28 13:17:00,120,
05/28/2017,2017-05-28 13:24:00,120,
05/28/2017,2017-05-28 13:30:00,120,
05/28/2017,2017-05-28 13:38:00,120,
05/28/2017,2017-05-28 13:45:00,120,
05/28/2017,2017-05-28 13:59:00,120,
05/28/2017,2017-05-28 14:03:00,120,
05/28/2017,2017-05-28 14:10:00,120,
05/28/2017,2017-05-28 14:17:00,120,
05/28/2017,2017-05-28 14:24:00,120,
05/28/2017,2017-05-28 14:30:00,120,
05/28/2017,2017-05-28 14:38:00,120,
05/28/2017,2017-05-28 14:45:00,120,
05/28/2017,2017-05-28 14:52:00,120,
05/28/2017,2017-05-28 14:59:00,120,
05/28/2017,2017-05-28 15:03:00,150,
05/28/2017,2017-05-28 15:10:00,150,
05/28/2017,2017-05-28 15:17:00,150,
05/28/2017,2017-05-28 15:24:00,150,
05/28/2017,2017-05-28 15:30:00,150,
05/28/2017,2017-05-28 15:38:00,210,
05/28/2017,2017-05-28 15:52:00,250,
05/28/2017,2017-05-28 15:59:00,250,
05/28/2017,2017-05-28 16:03:00,250,
05/28/2017,2017-05-28 16:10:00,250,
05/28/2017,2017-05-28 16:24:00,250,
05/28/2017,2017-05-28 16:30:00,250,
05/28/2017,2017-05-28 16:09:00,,34
05/28/2017,2017-05-28 16:45:00,300,
05/28/2017,2017-05-28 16:52:00,295,
05/28/2017,2017-05-28 16:59:00,295,
05/28/2017,2017-05-28 17:03:00,295,
05/28/2017,2017-05-28 17:17:00,295,
05/28/2017,2017-05-28 17:24:00,295,
05/28/2017,2017-05-28 17:30:00,295,
05/28/2017,2017-05-28 17:38:00,295,
05/28/2017,2017-05-28 17:52:00,295,
05/28/2017,2017-05-28 18:03:00,295,
05/28/2017,2017-05-28 18:10:00,295,
05/28/2017,2017-05-28 18:17:00,240,
05/28/2017,2017-05-28 13:57:00,,260
05/28/2017,2017-05-28 18:24:00,240,
05/28/2017,2017-05-28 18:30:00,240,
05/28/2017,2017-05-28 18:38:00,240,
05/28/2017,2017-05-28 13:38:00,,301
05/28/2017,2017-05-28 18:45:00,240,
05/28/2017,2017-05-28 18:52:00,240,
05/28/2017,2017-05-28 19:03:00,240,
05/28/2017,2017-05-28 19:10:00,240,
05/28/2017,2017-05-28 19:17:00,240,
05/28/2017,2017-05-28 19:30:00,160,
05/28/2017,2017-05-28 19:38:00,160,
05/28/2017,2017-05-28 19:45:00,160,
05/28/2017,2017-05-28 19:52:00,160,
05/28/2017,2017-05-28 19:59:00,160,
05/28/2017,2017-05-28 20:03:00,160,
05/28/2017,2017-05-28 20:10:00,160,
05/28/2017,2017-05-28 20:17:00,160,
05/28/2017,2017-05-28 20:24:00,160,
05/28/2017,2017-05-28 20:30:00,160,
05/28/2017,2017-05-28 20:38:00,160,
05/28/2017,2017-05-28 20:45:00,160,
05/28/2017,2017-05-28 20:52:00,160,
05/28/2017,2017-05-28 20:56:00,-999,
05/28/2017,2017-05-28 20:59:00,160,
05/28/2017,2017-05-28 21:03:00,160,
05/28/2017,2017-05-28 21:10:00,160,
05/28/2017,2017-05-28 21:17:00,160,
05/28/2017,2017-05-28 21:24:00,160,
05/28/2017,2017-05-28 21:30:00,160,
05/28/2017,2017-05-28 21:38:00,160,
05/28/2017,2017-05-28 21:45:00,-999,
05/28/2017,2017-05-28 21:52:00,-999,
05/28/2017,2017-05-28 21:59:00,-999,
05/28/2017,2017-05-28 22:03:00,-999,
05/28/2017,2017-05-28 22:10:00,-999,
05/28/2017,2017-05-28 22:17:00,-999,
05/28/2017,2017-05-28 22:24:00,-999,
05/28/2017,2017-05-28 22:31:00,-999,
05/28/2017,2017-05-28 22:38:00,-999,
05/28/2017,2017-05-28 22:45:00,-999,
05/28/2017,2017-05-28 22:52:00,-999,
05/28/2017,2017-05-28 22:59:00,-999,
05/28/2017,2017-05-28 23:03:00,-999,
