date,datetime,SPOSTMIN,SACTMIN
05/27/2017,2017-05-27 11:30:00,210,
05/27/2017,2017-05-27 11:38:00,210,
05/27/2017,2017-05-27 11:45:00,210,
05/27/2017,2017-05-27 11:52:00,210,
05/27/2017,2017-05-27 11:59:00,210,
05/27/2017,2017-05-27 12:03:00,195,
05/27/2017,2017-05-27 12:10:00,195,
05/27/2017,2017-05-27 12:17:00,195,
05/27/2017,2017-05-27 12:30:00,195,
05/27/2017,2017-05-27 12:38:00,195,
05/27/2017,2017-05-27 12:45:00,195,
05/27/2017,2017-05-27 12:52:00,195,
05/27/2017,2017-05-27 12:59:00,195,
05/27/2017,2017-05-27 13:03:00,195,
05/27/2017,2017-05-27 13:17:00,195,
05/27/2017,2017-05-27 13:24:00,195,
05/27/2017,2017-05-27 13:30:00,195,
05/27/2017,2017-05-27 13:45:00,195,
05/27/2017,2017-05-27 13:52:00,195,
05/27/2017,2017-05-27 13:59:00,195,
05/27/2017,2017-05-27 14:03:00,195,
05/27/2017,2017-05-27 14:10:00,195,
05/27/2017,2017-05-27 14:17:00,195,
05/27/2017,2017-05-27 14:24:00,150,
05/27/2017,2017-05-27 14:30:00,150,
05/27/2017,2017-05-27 14:38:00,150,
05/27/2017,2017-05-27 14:45:00,150,
05/27/2017,2017-05-27 14:52:00,150,
05/27/2017,2017-05-27 14:59:00,150,
05/27/2017,2017-05-27 15:03:00,150,
05/27/2017,2017-05-27 15:10:00,150,
05/27/2017,2017-05-27 15:17:00,150,
05/27/2017,2017-05-27 15:24:00,150,
05/27/2017,2017-05-27 15:30:00,150,
05/27/2017,2017-05-27 15:38:00,150,
05/27/2017,2017-05-27 15:45:00,150,
05/27/2017,2017-05-27 15:52:00,150,
05/27/2017,2017-05-27 15:59:00,150,
05/27/2017,2017-05-27 16:03:00,150,
05/27/2017,2017-05-27 16:10:00,150,
05/27/2017,2017-05-27 16:17:00,150,
05/27/2017,2017-05-27 16:24:00,150,
05/27/2017,2017-05-27 16:30:00,150,
05/27/2017,2017-05-27 16:45:00,150,
05/27/2017,2017-05-27 16:52:00,150,
05/27/2017,2017-05-27 16:59:00,150,
05/27/2017,2017-05-27 17:03:00,150,
05/27/2017,2017-05-27 17:10:00,150,
05/27/2017,2017-05-27 17:17:00,150,
05/27/2017,2017-05-27 17:24:00,150,
05/27/2017,2017-05-27 17:30:00,150,
05/27/2017,2017-05-27 17:45:00,150,
05/27/2017,2017-05-27 17:52:00,150,
05/27/2017,2017-05-27 17:59:00,150,
05/27/2017,2017-05-27 18:03:00,210,
05/27/2017,2017-05-27 18:10:00,180,
05/27/2017,2017-05-27 18:17:00,220,
05/27/2017,2017-05-27 18:24:00,220,
